Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,79,47,210,24.21,0.000%,12.28350,34.17,3.07,2848.2
TOTAL,100,79,47,210,24.21,0.000%,12.28350,34.17,3.07,2848.2
