Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,1088,65,1603,129.91,0.000%,.91826,0.20,0.22,224.4
TOTAL,100,1088,65,1603,129.91,0.000%,.91826,0.20,0.22,224.4
