Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6A MongoDB,100,11,7,61,5.41,0.000%,74.90637,16.09,18.29,220.0
TOTAL,100,11,7,61,5.41,0.000%,74.90637,16.09,18.29,220.0
