Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6A PostgreSQL,100,14,6,167,17.27,0.000%,57.37235,12.63,13.95,225.4
TOTAL,100,14,6,167,17.27,0.000%,57.37235,12.63,13.95,225.4
