Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6A PostgreSQL,100,13,7,129,12.52,0.000%,59.59476,13.12,14.49,225.4
TOTAL,100,13,7,129,12.52,0.000%,59.59476,13.12,14.49,225.4
