Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6A 3DCityDB,100,16,9,163,15.49,0.000%,52.27392,10.17,10.87,199.2
TOTAL,100,16,9,163,15.49,0.000%,52.27392,10.17,10.87,199.2
