Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 3DCityDB,100,219,66,552,52.42,0.000%,4.53474,4.51,1.11,1017.6
TOTAL,100,219,66,552,52.42,0.000%,4.53474,4.51,1.11,1017.6
