Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 MongoDB,100,32052,14989,36633,1894.39,0.000%,.02202,0.06,0.01,2890.0
TOTAL,100,32052,14989,36633,1894.39,0.000%,.02202,0.06,0.01,2890.0
