Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6c Postgresql,100,55,28,244,23.28,0.000%,16.84636,51.78,6.40,3147.6
TOTAL,100,55,28,244,23.28,0.000%,16.84636,51.78,6.40,3147.6
