Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query 2 PostgreSQL,100,1052,64,1441,112.24,0.000%,.94976,0.19,0.23,210.0
TOTAL,100,1052,64,1441,112.24,0.000%,.94976,0.19,0.23,210.0
