Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query 2 MongoDB,100,776,738,1102,61.65,0.000%,1.28732,0.25,0.32,199.0
TOTAL,100,776,738,1102,61.65,0.000%,1.28732,0.25,0.32,199.0
