Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query5 PostgreSQL,100,17,9,127,11.51,0.000%,47.30369,9.36,12.57,202.7
TOTAL,100,17,9,127,11.51,0.000%,47.30369,9.36,12.57,202.7
