Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query5 PostgreSQL,100,19,10,243,22.95,0.000%,44.88330,8.75,11.92,199.7
TOTAL,100,19,10,243,22.95,0.000%,44.88330,8.75,11.92,199.7
