Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6c Postgresql,100,142,63,692,83.09,0.000%,6.92905,21.29,2.63,3146.9
TOTAL,100,142,63,692,83.09,0.000%,6.92905,21.29,2.63,3146.9
