Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6c PostgreSQL,100,54,35,351,32.32,0.000%,17.67097,54.31,6.70,3146.9
TOTAL,100,54,35,351,32.32,0.000%,17.67097,54.31,6.70,3146.9
