Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,40,22,208,21.92,0.000%,23.47969,65.31,5.87,2848.2
TOTAL,100,40,22,208,21.92,0.000%,23.47969,65.31,5.87,2848.2
