Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6b PostgreSQL,100,15,6,123,12.45,0.000%,56.62514,22.54,14.43,407.6
TOTAL,100,15,6,123,12.45,0.000%,56.62514,22.54,14.43,407.6
