Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6b 3DCityDB,100,17,10,56,5.69,0.000%,43.25260,19.35,10.73,458.0
TOTAL,100,17,10,56,5.69,0.000%,43.25260,19.35,10.73,458.0
