Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6c Postgresql,100,200,178,290,21.19,0.000%,4.96524,9.33,1.90,1924.0
TOTAL,100,200,178,290,21.19,0.000%,4.96524,9.33,1.90,1924.0
