table_name,table_schema,table_size,indexes_size,total_size
"citydb"."aggregation_info",citydb,48 kB,32 kB,80 kB
"pg_catalog"."pg_namespace",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_opfamily",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_tablespace",pg_catalog,48 kB,32 kB,80 kB
"citydb"."bridge_thematic_surface",citydb,0 bytes,72 kB,72 kB
"pg_catalog"."pg_am",pg_catalog,40 kB,32 kB,72 kB
"pg_catalog"."pg_auth_members",pg_catalog,40 kB,32 kB,72 kB
"pg_catalog"."pg_ts_config",pg_catalog,40 kB,32 kB,72 kB
"pg_catalog"."pg_init_privs",pg_catalog,56 kB,16 kB,72 kB
"pg_catalog"."pg_ts_parser",pg_catalog,40 kB,32 kB,72 kB
"pg_catalog"."pg_ts_template",pg_catalog,40 kB,32 kB,72 kB
"citydb"."tunnel_opening",citydb,8192 bytes,64 kB,72 kB
"citydb"."tunnel_thematic_surface",citydb,0 bytes,64 kB,64 kB
"pg_catalog"."pg_shdescription",pg_catalog,48 kB,16 kB,64 kB
"citydb"."transportation_complex",citydb,8192 bytes,56 kB,64 kB
"citydb"."tunnel_furniture",citydb,8192 bytes,56 kB,64 kB
"pg_catalog"."pg_pltemplate",pg_catalog,48 kB,16 kB,64 kB
"citydb"."land_use",citydb,8192 bytes,56 kB,64 kB
"citydb"."bridge_furniture",citydb,8192 bytes,56 kB,64 kB
"citydb"."building_furniture",citydb,8192 bytes,56 kB,64 kB
"citydb"."traffic_area",citydb,8192 bytes,48 kB,56 kB
"pg_catalog"."pg_range",pg_catalog,40 kB,16 kB,56 kB
"citydb"."relief_feat_to_rel_comp",citydb,8192 bytes,48 kB,56 kB
"citydb"."relief_component",citydb,16 kB,40 kB,56 kB
"citydb"."cityobjectgroup",citydb,8192 bytes,40 kB,48 kB
"citydb"."tunnel_hollow_space",citydb,8192 bytes,40 kB,48 kB
"citydb"."bridge_room",citydb,8192 bytes,40 kB,48 kB
"citydb"."waterboundary_surface",citydb,8192 bytes,40 kB,48 kB
"citydb"."room",citydb,8192 bytes,40 kB,48 kB
"citydb"."surface_data",citydb,8192 bytes,40 kB,48 kB
"information_schema"."sql_packages",information_schema,48 kB,0 bytes,48 kB
"information_schema"."sql_sizing",information_schema,48 kB,0 bytes,48 kB
"information_schema"."sql_languages",information_schema,48 kB,0 bytes,48 kB
"information_schema"."sql_parts",information_schema,48 kB,0 bytes,48 kB
"information_schema"."sql_implementation_info",information_schema,48 kB,0 bytes,48 kB
"citydb"."relief_feature",citydb,16 kB,32 kB,48 kB
"citydb"."appearance",citydb,8192 bytes,40 kB,48 kB
"pg_catalog"."pg_attrdef",pg_catalog,16 kB,32 kB,48 kB
"citydb"."breakline_relief",citydb,8192 bytes,32 kB,40 kB
"pg_catalog"."pg_db_role_setting",pg_catalog,16 kB,16 kB,32 kB
"citydb"."index_table",citydb,16 kB,16 kB,32 kB
"citydb"."raster_relief",citydb,8192 bytes,24 kB,32 kB
"citydb"."citymodel",citydb,8192 bytes,24 kB,32 kB
