table_name,table_schema,table_size,indexes_size,total_size
"information_schema"."constraint_table_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domain_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domain_udt_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."sequences",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domains",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."enabled_roles",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."key_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."parameters",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."referential_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_column_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."routine_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_routine_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."routines",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."table_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."table_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_table_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."views",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."transforms",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."triggered_update_columns",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_servers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."triggers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."data_type_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."udt_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_udt_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."usage_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."element_types",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_usage_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."user_defined_types",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_table_columns",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_routine_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_table_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_server_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_data_wrappers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_data_wrapper_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_data_wrappers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_servers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_table_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_user_mappings",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."user_mappings",information_schema,0 bytes,0 bytes,0 bytes
"public"."geography_columns",public,0 bytes,0 bytes,0 bytes
"information_schema"."user_mapping_options",information_schema,0 bytes,0 bytes,0 bytes
"public"."geometry_columns",public,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_shadow",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_roles",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_settings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_file_settings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_hba_file_rules",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_config",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_cursors",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_bgwriter",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_replication_origin_status",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_vacuum",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_cluster",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_create_index",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_user_mappings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_group",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_user",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_policies",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_rules",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_views",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_matviews",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stats",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stats_ext",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_publication_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_locks",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_available_extensions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_available_extension_versions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_prepared_xacts",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_prepared_statements",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_seclabels",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_timezone_abbrevs",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_timezone_names",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_sys_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_user_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_all_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_all_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_sys_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_all_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_all_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_sys_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_statio_user_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_activity",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_replication",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_wal_receiver",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_subscription",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_ssl",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_gssapi",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_replication_slots",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_database",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_database_conflicts",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_functions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_user_functions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_archiver",pg_catalog,0 bytes,0 bytes,0 bytes
"information_schema"."information_schema_catalog_name",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."check_constraint_routine_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."applicable_roles",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."administrable_role_authorizations",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."collation_character_set_applicability",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."attributes",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."check_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."character_sets",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."collations",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_domain_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_udt_usage",information_schema,0 bytes,0 bytes,0 bytes
(204 rows)
