41.445,1.364,1.842,13.427,23.901,4.388,0.224,3.958,0.162,0.19,0.181,0.184,0.178,0.178,0.175,0.175,0.153
2.143,4.231,1.461,7.975,0.487,5.901,0.178,4.474,0.15,0.144,0.202,0.121,0.214,0.134,0.133,0.141,0.137
0.406,0.367,1.083,8.294,0.994,4.399,0.485,4.323,0.224,0.162,0.221,0.398,0.152,0.203,0.196,0.153,0.161
0.726,0.364,0.712,4.545,0.31,4.417,0.159,4.862,0.15,0.146,0.273,0.237,0.229,0.153,0.165,0.141,0.157
0.236,0.22,0.355,2.311,0.567,4.61,0.272,4.067,0.163,0.164,0.149,0.149,0.15,0.143,0.146,1.16,0.166
0.248,0.442,0.652,5.817,0.19,5.534,0.167,5.521,0.163,1.29,0.178,0.138,0.15,0.163,0.158,0.234,0.137
0.26,0.281,1.248,7.532,0.209,6.889,0.189,7.948,0.184,0.471,0.142,0.133,0.138,0.13,0.145,0.13,0.165
0.244,0.842,0.695,4.711,0.167,4.242,0.157,5.757,0.141,0.369,0.146,0.138,0.137,0.54,0.148,0.155,0.186
0.251,0.223,0.476,2.239,0.373,6.5,0.122,5.08,0.22,0.16,0.127,0.148,0.143,0.159,0.585,0.201,0.151
0.198,0.284,0.364,2.546,0.57,5.366,0.118,2.481,0.129,0.109,0.102,0.199,0.144,0.233,0.106,0.099,0.102
0.173,0.217,0.349,2.271,0.135,2.357,1.137,4.427,0.164,0.103,0.119,0.098,0.098,0.094,0.102,0.137,0.109
0.178,0.257,0.409,4.04,0.121,2.469,0.123,6.217,0.167,0.112,0.092,0.105,0.099,0.098,0.093,0.093,0.093
0.175,0.236,0.359,2.249,0.113,2.278,0.119,2.335,0.145,0.113,0.1,0.331,0.15,0.109,0.12,0.106,0.136
0.18,0.205,0.687,4.028,0.13,5.359,0.142,2.21,0.115,0.1,0.099,0.102,0.104,0.152,0.098,0.1,0.099
0.183,0.213,0.446,2.274,0.121,2.147,0.166,2.261,0.134,0.161,0.142,0.128,0.448,0.114,0.101,0.15,0.114
0.233,0.339,0.626,3.834,0.541,2.636,0.132,2.429,0.1,0.107,0.104,0.098,0.091,0.096,0.095,0.091,0.252
0.189,0.265,0.395,2.132,0.165,2.896,0.161,2.257,0.122,0.155,0.393,0.129,0.105,0.115,0.116,0.11,0.103
0.198,0.246,0.393,2.691,0.146,3.752,0.573,3.44,0.125,0.102,0.098,0.109,0.138,0.138,0.283,0.117,0.1
0.25,0.331,0.423,4.175,0.179,7.171,0.254,5.605,0.161,0.142,0.206,0.211,0.143,0.114,0.127,0.163,0.115
0.28,0.29,0.449,5.192,0.188,6.711,0.178,6.571,0.106,0.134,0.126,0.15,0.088,0.099,0.31,0.111,0.085
0.191,0.462,0.407,2.321,0.407,2.647,0.119,2.339,0.113,0.098,0.1,0.119,0.108,0.455,0.104,0.089,0.1
0.237,0.233,0.361,2.296,0.117,2.466,0.129,4.732,0.132,0.154,0.142,0.159,0.146,0.108,0.25,0.139,0.133
0.339,0.379,0.688,4.814,0.189,4.726,0.128,4.428,0.117,0.134,0.212,0.115,0.129,0.111,0.106,0.102,0.104
0.33,1.221,0.74,4.033,0.117,2.14,0.117,2.144,0.118,0.118,0.113,0.087,0.091,0.087,0.157,0.116,0.109
0.209,0.241,0.382,2.153,0.12,2.19,0.12,3.823,0.58,0.15,0.144,0.166,0.12,0.118,0.148,0.17,0.169
0.274,0.404,0.709,4.13,0.176,4.156,0.311,4.404,0.701,0.148,0.14,0.146,0.143,0.127,0.127,0.14,0.135
0.246,0.333,0.867,6.687,0.177,3.913,0.171,4.221,0.157,0.14,0.146,0.149,0.451,0.127,0.107,0.117,0.102
0.231,0.453,0.677,2.809,0.485,2.726,0.171,5.253,0.46,0.124,0.103,0.106,0.102,0.117,0.102,0.105,0.108
0.496,0.476,0.701,4.248,0.397,4.87,0.113,4.961,0.108,0.099,0.104,0.089,0.142,0.093,0.098,0.116,0.101
