30.191,2.661,15.359,25.448,13.98,24.095,0.143,24.331,0.126,0.089,0.094,0.134,0.119,0.1,0.097,0.098,0.097
2.276,1.976,11.568,27.787,0.374,27.526,0.109,26.689,0.115,0.143,0.114,0.121,0.097,0.099,0.093,0.095,0.097
0.229,0.991,7.183,27.331,0.133,41.987,0.24,40.939,0.111,0.107,0.099,0.099,0.095,0.113,0.086,0.103,0.096
0.187,1.717,7.407,26.015,0.109,25.018,0.118,25.19,0.098,0.105,0.112,0.1,0.102,0.12,0.165,0.113,0.126
0.19,1.96,7.036,28.178,0.114,23.6,0.142,23.908,0.108,0.103,0.103,0.091,0.095,0.097,0.093,0.091,0.141
0.288,0.988,6.921,26.835,0.129,23.409,0.115,23.355,0.1,0.091,0.09,0.097,0.091,0.09,0.09,0.086,0.084
0.22,1.062,11.505,24.089,0.116,30.0,0.128,25.938,0.102,0.092,0.093,0.096,0.097,0.094,0.092,0.095,0.102
0.18,1.822,6.952,25.344,0.116,23.363,0.111,23.362,0.103,0.097,0.1,0.093,0.091,0.092,0.09,0.094,0.092
0.437,0.976,6.781,25.548,0.119,23.6,0.18,23.221,0.101,0.094,0.093,0.096,0.096,0.103,0.094,0.081,0.091
0.181,1.454,6.782,23.753,0.113,24.225,0.109,23.074,0.137,0.113,0.092,0.1,0.103,0.102,0.09,0.098,0.102
0.18,1.04,6.908,24.903,0.121,22.941,0.111,22.948,0.102,0.094,0.099,0.112,0.094,0.092,0.113,0.104,0.142
0.253,1.052,13.399,31.96,0.119,23.15,0.175,22.858,0.108,0.093,0.09,0.09,0.09,0.089,0.102,0.088,0.084
0.301,0.979,7.104,23.993,0.125,22.837,0.11,22.448,0.103,0.093,0.09,0.097,0.106,0.09,0.081,0.095,0.085
0.407,1.32,6.908,23.854,0.115,22.104,0.11,22.961,0.112,0.098,0.096,0.091,0.101,0.093,0.095,0.096,0.092
0.51,0.986,7.175,22.716,0.113,22.321,0.113,22.455,0.112,0.127,0.096,0.108,0.092,0.095,0.092,0.086,0.101
0.267,0.994,7.601,23.424,0.133,28.994,0.109,24.553,0.102,0.093,0.096,0.086,0.101,0.092,0.089,0.084,0.083
0.22,1.354,8.319,23.36,0.127,22.072,0.125,21.67,0.108,0.113,0.101,0.096,0.097,0.094,0.092,0.087,0.093
0.885,0.994,6.954,22.824,0.118,24.152,0.13,28.291,0.11,0.093,0.16,0.113,0.129,0.116,0.1,0.194,0.125
0.292,1.145,6.673,25.06,0.143,22.895,0.111,21.905,0.101,0.103,0.115,0.098,0.098,0.099,0.082,0.087,0.114
0.217,0.941,6.893,22.694,0.125,21.364,0.124,21.059,0.094,0.119,0.112,0.094,0.101,0.106,0.111,0.108,0.104
0.192,2.177,15.337,30.663,0.124,21.62,0.112,20.887,0.122,0.102,0.1,0.101,0.092,0.092,0.086,0.086,0.09
0.183,1.379,7.879,21.223,0.113,20.525,0.103,20.617,0.094,0.091,0.091,0.091,0.091,0.085,0.091,0.09,0.081
0.184,1.99,6.566,21.463,0.117,20.536,0.115,20.61,0.096,0.091,0.09,0.09,0.088,0.085,0.09,0.093,0.086
