Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,854,820,1019,33.62,0.000%,1.17010,0.25,0.28,217.0
TOTAL,100,854,820,1019,33.62,0.000%,1.17010,0.25,0.28,217.0
