Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,14,8,53,6.91,0.000%,65.23157,14.14,16.18,222.0
TOTAL,100,14,8,53,6.91,0.000%,65.23157,14.14,16.18,222.0
