Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query7 PostgreSQL,100,19,12,136,12.54,0.000%,44.88330,22.47,12.67,512.5
TOTAL,100,19,12,136,12.54,0.000%,44.88330,22.47,12.67,512.5
