Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query7 PostgreSQL,100,22,11,206,19.53,0.000%,38.12429,19.12,10.76,513.5
TOTAL,100,22,11,206,19.53,0.000%,38.12429,19.12,10.76,513.5
