Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query7 3DCityDB,100,32,16,343,31.88,0.000%,28.53067,20.55,12.40,737.5
TOTAL,100,32,16,343,31.88,0.000%,28.53067,20.55,12.40,737.5
