Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,74,40,280,27.37,0.000%,13.25732,36.88,3.31,2848.2
TOTAL,100,74,40,280,27.37,0.000%,13.25732,36.88,3.31,2848.2
