Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query1 3DCityDB,100,9,5,33,4.49,0.000%,93.19664,20.48,25.21,225.0
TOTAL,100,9,5,33,4.49,0.000%,93.19664,20.48,25.21,225.0
