Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Query 1 PostgreSQL,100,10,4,21,3.06,0.000%,84.74576,18.62,22.92,225.0
TOTAL,100,10,4,21,3.06,0.000%,84.74576,18.62,22.92,225.0
