Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6b MongoDB,100,12,7,43,4.18,0.000%,74.68260,27.35,23.85,375.0
TOTAL,100,12,7,43,4.18,0.000%,74.68260,27.35,23.85,375.0
