Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,17,10,177,17.09,0.000%,50.27652,11.24,12.42,228.9
TOTAL,100,17,10,177,17.09,0.000%,50.27652,11.24,12.42,228.9
