Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query 2 PostgreSQL,100,1057,50,1530,124.08,0.000%,.94500,0.19,0.23,210.0
TOTAL,100,1057,50,1530,124.08,0.000%,.94500,0.19,0.23,210.0
