Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,17,8,159,16.48,0.000%,48.94763,10.94,12.09,228.9
TOTAL,100,17,8,159,16.48,0.000%,48.94763,10.94,12.09,228.9
