Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,1460,1411,2090,86.37,0.000%,.68435,13.20,0.17,19756.0
TOTAL,100,1460,1411,2090,86.37,0.000%,.68435,13.20,0.17,19756.0
