7.75,4.569,0.205,0.161,0.18,0.197,0.163,0.158,0.455,0.45
0.59,0.26,0.208,0.201,0.181,0.176,0.18,0.176,0.18,0.164
0.544,0.213,0.184,0.172,0.166,0.17,0.207,0.204,0.179,0.175
0.588,0.213,0.173,0.17,0.293,0.295,0.698,0.283,0.295,0.289
0.598,0.254,0.217,0.234,0.195,0.263,0.291,0.292,0.288,0.993
2.525,0.441,0.331,0.281,0.299,0.229,0.683,1.198,0.21,0.175
1.007,0.279,0.284,0.239,0.523,0.226,0.218,0.655,0.78,0.271
0.639,0.286,0.847,0.594,0.283,0.241,0.674,0.476,0.3,0.376
0.666,0.531,0.313,1.103,0.289,0.218,0.301,0.805,0.264,0.428
1.399,0.337,0.468,0.402,0.336,0.293,0.426,0.276,0.301,0.322
1.341,0.28,0.631,0.387,1.748,0.445,0.312,0.77,0.289,0.301
1.749,0.378,0.57,0.287,0.221,0.211,0.348,0.506,0.356,0.286
1.197,0.314,1.072,1.182,3.497,0.402,0.307,0.418,0.291,0.36
1.047,0.462,0.293,1.223,0.481,0.287,0.373,0.303,0.353,0.345
3.224,0.386,0.318,0.303,1.065,0.316,0.397,0.387,0.328,0.937
1.314,0.294,0.314,0.299,0.402,0.324,0.314,0.319,0.361,0.275
1.182,0.298,0.295,0.318,0.315,0.291,0.286,0.304,0.26,0.282
1.043,1.509,0.307,0.482,0.285,0.284,0.3,0.29,0.294,0.316
0.942,0.353,0.299,0.276,0.275,0.351,0.305,0.305,0.664,0.278
1.065,1.355,1.01,0.304,0.279,0.321,0.732,0.257,0.292,0.366
0.643,0.422,0.39,0.381,0.493,0.293,0.207,0.217,0.191,0.169
0.655,0.294,0.246,0.38,0.845,0.281,0.346,0.449,0.256,0.247
1.594,0.359,0.215,0.382,0.25,0.226,0.189,0.158,0.171,0.154
0.787,0.273,0.231,0.237,0.247,0.242,0.265,0.174,0.168,0.159
1.346,0.317,0.219,0.373,0.223,0.215,0.188,0.173,0.169,0.161
1.393,0.344,0.263,0.318,0.412,0.296,0.208,0.212,0.264,0.305
1.636,0.282,0.452,0.313,0.39,0.299,0.32,0.237,0.212,0.171
0.815,0.305,0.611,0.341,0.273,0.419,0.236,0.218,0.183,0.325
1.403,0.321,0.257,0.348,0.256,0.275,0.241,0.254,0.283,0.283
0.824,0.34,0.404,0.251,0.299,0.239,0.227,0.172,0.173,0.252
0.815,0.35,0.263,0.361,0.185,0.225,0.287,0.257,0.285,0.247
0.76,0.227,0.187,0.194,0.261,0.234,0.353,0.313,0.25,0.394
0.976,0.709,0.986,0.486,0.468,0.496,0.55,0.623,0.383,0.444
2.536,0.423,1.362,0.386,1.906,0.783,0.373,0.357,0.351,0.301
2.998,0.354,0.439,0.316,0.293,0.712,0.475,0.203,0.187,0.465
0.6,0.291,0.343,0.37,0.232,0.188,0.649,0.321,0.508,0.294
0.62,1.386,0.291,0.487,0.354,0.26,0.276,0.255,0.28,0.232
0.666,0.59,0.361,0.217,0.326,0.362,0.274,0.256,0.201,0.161
0.987,0.573,0.278,0.349,0.28,0.223,0.167,0.237,0.29,0.293
1.358,0.273,0.336,0.35,0.563,0.223,0.18,0.189,0.182,0.18
0.632,0.971,0.267,0.293,0.711,0.266,0.234,0.186,0.168,0.17
1.024,0.414,0.338,0.405,0.388,0.482,0.466,0.942,3.107,1.559
1.464,0.283,0.271,0.338,0.285,0.434,0.593,0.297,0.602,0.406
1.075,0.981,0.368,0.871,0.454,0.319,0.329,0.335,0.359,0.397
1.05,0.939,0.38,0.347,0.421,1.022,0.85,0.357,0.321,0.384
0.72,0.265,0.246,0.233,0.269,0.228,0.22,0.21,0.212,0.207
0.901,0.321,0.296,0.24,0.21,0.24,0.236,0.232,0.363,0.223
1.281,0.272,0.236,0.214,0.326,0.289,0.247,0.362,0.259,0.294
3.84,0.394,0.639,0.385,0.56,0.313,0.319,0.23,0.321,0.28
0.647,0.806,0.332,0.291,0.316,0.283,0.278,0.239,0.209,0.195
2.108,0.366,0.26,0.263,0.293,0.231,0.268,0.32,0.342,0.313
0.812,0.27,0.224,0.287,0.295,0.287,0.461,0.26,0.249,0.532
1.074,0.431,0.412,0.412,0.369,0.326,0.376,0.244,0.329,0.273
2.831,0.347,0.443,0.353,0.318,0.302,0.282,0.362,0.291,0.279
0.91,0.411,0.36,0.375,0.221,0.331,0.224,0.278,0.31,0.277
0.595,0.332,0.41,0.28,0.265,0.266,0.293,0.311,1.001,0.311
1.291,0.379,0.538,0.606,0.458,0.497,0.448,0.28,0.365,0.441
0.912,0.912,0.305,0.39,0.446,0.46,0.488,0.628,0.37,0.809
0.96,0.39,0.382,0.373,0.297,0.334,0.379,1.184,0.395,0.308
0.872,0.307,0.293,0.295,0.345,0.658,2.235,0.374,0.409,0.264
0.633,0.407,0.901,0.395,0.392,0.522,0.389,0.804,0.49,0.315
0.898,0.375,0.294,0.304,0.301,0.382,0.386,0.289,0.279,2.256
0.937,0.31,0.282,0.413,0.367,0.309,0.365,0.283,0.281,0.368
2.316,0.294,0.281,0.292,0.376,0.455,0.304,0.313,0.371,0.297
1.636,0.294,0.53,0.355,0.395,0.491,0.306,0.326,0.339,0.305
0.863,0.289,0.735,0.365,0.362,0.594,0.407,0.292,0.276,0.276
0.931,0.842,1.516,0.331,0.385,0.41,0.325,0.385,0.425,0.68
0.547,0.206,0.188,0.204,0.207,0.25,0.347,0.437,0.296,0.3
1.081,0.296,0.28,0.217,0.345,0.301,0.283,0.306,0.332,0.321
0.92,1.564,0.344,0.298,0.312,0.214,0.213,0.296,0.348,0.957
1.118,0.771,0.33,0.4,0.824,0.314,0.589,0.433,0.293,0.365
1.256,0.316,3.926,2.395,0.554,0.402,0.419,0.387,0.491,2.093
1.045,0.392,0.488,0.837,0.318,1.142,0.281,0.4,0.513,1.623
0.956,0.371,0.336,0.328,0.307,0.294,0.325,0.292,0.349,0.313
1.291,0.317,0.287,0.275,0.424,0.391,0.378,0.309,0.426,1.218
1.951,0.339,0.331,0.329,0.485,0.476,0.483,1.193,0.389,0.49
0.996,0.508,0.311,0.43,1.119,0.668,0.389,1.608,0.368,0.314
2.185,0.315,1.501,0.278,0.575,0.287,1.002,0.426,0.285,0.372
1.399,0.348,0.293,1.017,1.556,0.417,0.402,0.434,0.496,0.474
2.15,0.625,1.145,0.541,0.566,0.581,0.93,0.566,0.469,0.409
0.915,0.461,0.413,0.315,0.574,0.506,0.482,0.334,0.47,0.358
1.879,0.557,0.296,0.449,0.483,1.197,0.655,0.496,0.606,0.409
0.656,0.273,0.288,0.795,0.546,0.297,0.297,0.376,0.392,0.372
1.505,0.301,0.264,0.273,0.62,0.317,0.291,0.478,0.298,0.428
1.62,0.335,0.382,0.299,0.296,0.385,0.365,0.289,0.392,0.281
1.026,0.354,0.362,0.32,0.29,0.273,0.302,0.316,0.305,0.28
0.859,0.41,0.35,0.511,0.269,0.29,0.291,0.287,0.258,0.225
0.878,0.288,0.296,0.284,0.31,0.282,0.283,0.296,0.286,0.442
