17.136,2.271
0.399,2.036
0.221,1.332
0.328,2.627
0.307,3.262
0.283,2.147
0.287,3.036
0.29,2.196
0.281,2.792
0.267,2.243
0.305,2.154
0.287,3.346
0.226,1.211
0.24,2.343
0.342,2.955
0.496,1.109
0.2,1.101
0.22,1.833
0.262,2.135
0.254,1.2
0.189,3.298
0.518,1.344
0.731,2.887
0.248,2.312
0.344,2.155
0.244,2.33
0.238,2.342
0.773,2.163
0.245,2.844
0.927,3.012
0.251,2.777
0.488,3.305
0.259,2.086
0.367,4.109
0.463,2.114
0.498,2.927
0.261,2.389
0.364,4.242
0.263,3.404
0.255,2.126
0.35,2.735
0.274,2.698
0.228,2.934
0.513,2.789
0.377,2.677
0.333,2.832
0.443,2.173
0.228,3.184
0.258,2.79
0.333,3.801
0.322,3.15
0.707,3.807
0.428,2.915
1.02,2.464
0.607,2.252
0.313,2.929
0.349,3.967
0.244,1.133
0.298,3.126
0.253,3.098
0.466,1.959
0.295,3.376
0.457,2.718
0.253,3.26
0.388,3.965
0.73,3.638
0.285,3.177
0.441,2.54
0.43,4.805
0.347,3.694
0.325,2.221
0.442,2.572
0.289,2.701
0.247,3.349
0.381,2.606
1.072,2.431
0.318,2.502
0.325,3.257
0.289,2.592
0.24,1.728
0.285,2.136
0.279,2.002
0.239,2.416
0.375,2.712
1.006,1.922
0.266,5.272
0.269,4.253
0.559,2.938
0.762,1.09
0.342,3.53
0.264,2.145
0.295,2.143
1.636,2.627
0.294,2.846
0.284,2.35
0.289,3.048
0.255,2.187
0.179,1.069
0.266,2.143
