32.695,1.947
0.282,2.626
0.283,2.006
0.703,1.805
0.272,1.916
1.257,1.714
0.271,1.991
0.27,2.631
0.429,2.065
0.636,1.426
0.557,2.494
0.272,2.53
0.348,2.572
0.246,1.571
0.391,1.597
0.52,3.258
0.261,2.745
0.779,2.764
0.334,1.9
0.433,1.758
0.43,1.823
0.368,1.431
0.259,2.495
0.335,2.553
0.614,2.244
0.303,1.639
0.298,1.52
0.319,3.132
0.242,3.132
0.276,2.588
0.274,1.512
0.282,0.921
0.321,1.11
0.3,2.686
0.235,2.96
0.295,2.164
0.292,1.354
0.272,0.84
0.25,1.568
0.286,1.604
0.402,1.942
0.712,0.82
0.258,1.274
0.291,1.456
0.246,2.487
0.228,2.522
0.272,0.766
0.48,2.255
0.268,1.914
0.866,1.806
0.275,1.814
0.351,2.014
0.459,2.094
0.561,2.261
0.305,1.683
0.407,1.507
0.461,1.783
0.309,3.659
0.291,1.806
0.423,1.357
0.25,2.014
0.273,1.693
0.265,1.965
0.284,1.738
0.22,0.825
1.136,2.451
0.484,1.852
0.303,1.464
0.362,2.105
0.28,1.53
0.241,2.24
1.484,3.083
0.705,1.589
0.354,0.802
0.259,2.143
0.264,1.61
0.251,1.809
0.32,3.284
0.246,0.847
0.539,1.506
0.378,1.897
0.802,1.756
0.258,1.981
0.26,2.075
0.262,1.482
0.322,1.614
0.465,4.054
0.256,1.892
0.247,1.486
0.567,1.504
0.361,2.484
0.364,1.671
0.27,3.086
0.361,1.744
0.39,1.671
0.249,2.694
0.299,1.792
0.258,2.387
0.291,1.797
0.291,1.797
