Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Query 1 PostgreSQL,100,9,5,55,4.98,0.000%,86.43042,18.99,23.38,225.0
TOTAL,100,9,5,55,4.98,0.000%,86.43042,18.99,23.38,225.0
