Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,202,44,602,50.18,0.000%,4.89093,1.07,1.18,224.4
TOTAL,100,202,44,602,50.18,0.000%,4.89093,1.07,1.18,224.4
