Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,210,46,437,44.86,0.000%,4.73395,1.04,1.15,224.4
TOTAL,100,210,46,437,44.86,0.000%,4.73395,1.04,1.15,224.4
