Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,217,55,633,51.63,0.000%,4.56684,12.68,1.12,2843.8
TOTAL,100,217,55,633,51.63,0.000%,4.56684,12.68,1.12,2843.8
