Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,215,83,490,53.49,0.000%,4.60003,12.77,1.13,2843.8
TOTAL,100,215,83,490,53.49,0.000%,4.60003,12.77,1.13,2843.8
