Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query3 PostgreSQL,100,1149,54,1839,146.52,0.000%,.86950,2.41,0.21,2843.8
TOTAL,100,1149,54,1839,146.52,0.000%,.86950,2.41,0.21,2843.8
