Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,1106,41,1540,122.44,0.000%,.90337,0.20,0.22,224.4
TOTAL,100,1106,41,1540,122.44,0.000%,.90337,0.20,0.22,224.4
