Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,16,8,154,14.37,0.000%,54.70460,12.23,13.52,228.9
TOTAL,100,16,8,154,14.37,0.000%,54.70460,12.23,13.52,228.9
