Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 PostgreSQL,100,23,12,151,14.23,0.000%,37.32736,8.34,9.22,228.9
TOTAL,100,23,12,151,14.23,0.000%,37.32736,8.34,9.22,228.9
