Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query6c Postgresql,100,58,37,296,28.54,0.000%,16.47718,50.65,6.26,3147.6
TOTAL,100,58,37,296,28.54,0.000%,16.47718,50.65,6.26,3147.6
