Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
query4 3DCityDB,100,200,104,368,27.09,0.000%,4.94535,1.07,1.20,220.8
TOTAL,100,200,104,368,27.09,0.000%,4.94535,1.07,1.20,220.8
