33.771,1.617,18.835,17.266,3.129,0.308
1.767,0.306,0.627,5.379,1.159,0.441
0.715,0.491,0.126,0.705,0.313,0.325
0.214,0.407,0.152,0.557,0.305,0.254
0.269,0.259,0.122,0.539,0.302,0.164
0.265,0.293,0.12,0.533,0.275,0.245
0.246,0.243,0.102,0.437,0.173,0.128
0.254,0.283,0.142,0.773,1.644,0.404
0.337,0.308,0.321,1.489,0.288,0.184
0.552,0.478,0.142,0.734,0.359,0.226
0.315,0.289,0.135,0.528,0.451,0.319
0.302,0.446,0.182,1.135,0.476,0.272
1.197,0.368,0.14,5.505,0.381,0.737
0.826,0.402,0.143,0.74,0.3,0.25
2.256,2.857,0.165,0.691,1.05,1.301
2.489,0.316,0.232,1.195,0.301,0.703
0.298,0.298,0.207,0.839,0.347,0.284
0.546,0.462,0.234,1.123,1.263,1.391
3.628,0.315,0.178,0.999,0.387,0.438
0.278,0.419,0.338,1.936,0.449,0.243
0.882,0.304,0.111,0.467,0.287,0.184
0.303,0.434,0.145,2.49,0.358,0.173
0.205,0.316,0.154,0.455,0.865,0.213
0.495,0.367,0.137,0.667,0.293,0.725
0.187,0.413,0.161,1.604,0.374,0.802
0.288,0.37,0.136,0.892,0.332,0.234
0.33,0.377,0.31,0.912,0.356,0.26
0.325,0.394,0.153,0.765,0.474,1.007
0.311,0.408,0.495,0.844,0.367,0.257
0.452,0.327,0.142,0.689,0.305,0.229
1.134,0.316,0.136,0.68,0.321,0.301
0.306,0.311,0.191,0.712,0.439,0.5
0.267,0.343,0.138,0.855,0.606,0.244
0.342,0.358,0.143,0.814,0.304,0.236
0.271,0.348,0.181,0.765,0.362,0.25
0.357,1.071,0.186,0.949,0.539,0.544
0.268,0.531,0.763,1.258,0.753,0.235
0.266,0.372,0.183,1.631,0.297,0.281
0.353,0.361,0.175,0.646,0.327,0.221
0.369,0.336,0.129,0.59,0.317,0.243
0.366,0.314,0.133,0.525,0.264,0.206
0.337,0.451,0.139,0.861,0.41,0.279
0.594,0.302,0.147,0.567,0.293,0.192
0.38,0.551,0.2,0.634,0.285,0.231
0.303,1.286,0.153,2.354,0.301,0.284
0.228,0.251,0.118,0.512,0.281,0.287
0.286,0.492,0.132,0.664,0.543,0.275
0.348,0.403,0.154,0.638,0.362,0.27
0.294,0.749,0.149,0.539,0.382,0.275
0.27,0.282,0.166,0.826,0.468,0.213
0.396,0.496,0.131,0.635,0.319,0.745
0.262,0.356,0.144,0.735,0.664,0.549
0.284,0.339,0.146,0.882,0.318,0.417
0.648,0.301,0.173,0.855,0.337,0.337
0.409,0.305,0.132,0.691,0.209,0.159
0.276,0.549,0.918,0.477,0.32,0.33
0.202,0.298,0.132,0.801,0.337,0.312
0.208,0.201,0.096,0.43,0.217,0.315
0.282,0.366,0.155,0.714,0.343,0.321
0.285,0.493,0.168,0.678,0.283,0.31
0.398,1.557,0.256,0.946,0.543,0.276
0.538,0.429,0.208,0.728,0.298,0.231
0.291,0.32,0.662,0.798,0.335,0.499
0.254,0.279,0.148,0.697,0.331,0.311
0.241,0.646,0.581,0.85,0.399,0.285
0.344,0.318,0.172,0.621,1.353,0.302
0.309,0.432,0.172,0.821,0.43,0.681
0.348,0.301,0.129,0.64,0.383,0.889
0.239,0.316,0.155,0.756,0.325,0.242
0.284,0.602,0.245,0.666,0.321,0.264
0.304,0.52,0.158,0.676,0.29,0.253
0.364,1.152,0.144,0.819,0.306,0.319
0.24,0.353,0.187,0.703,0.406,0.283
0.248,0.288,0.143,0.523,0.339,0.223
0.288,0.333,0.223,0.783,0.328,0.27
0.263,0.385,0.209,0.563,0.372,0.229
0.359,0.305,0.142,0.533,0.285,0.29
0.33,0.68,0.187,0.681,0.332,0.232
0.197,0.213,0.103,0.635,0.27,0.91
0.38,0.701,0.132,0.793,0.41,0.26
0.214,0.439,0.377,1.717,2.862,0.731
0.303,0.323,0.405,0.619,0.302,0.179
0.266,0.27,0.14,1.213,1.692,0.199
0.272,0.274,0.13,0.53,0.296,0.261
0.423,0.671,0.271,0.893,0.742,0.426
0.368,0.609,0.227,0.744,0.325,0.511
1.758,1.599,0.159,0.808,0.853,0.24
0.374,0.419,0.265,0.747,0.727,0.276
0.24,0.284,0.329,0.65,0.356,0.225
0.286,0.277,0.107,0.43,0.277,0.289
0.72,0.691,0.141,0.531,0.276,0.233
0.237,0.268,0.128,0.526,0.287,0.247
0.327,0.319,0.148,2.059,0.304,0.232
0.287,0.313,0.155,0.711,0.378,0.541
0.304,0.347,0.163,1.978,1.19,0.708
0.396,0.407,0.18,0.781,0.388,0.311
0.246,0.304,0.164,0.681,0.264,0.224
0.345,0.337,0.575,0.97,0.267,0.409
0.563,0.41,0.143,0.906,0.614,0.304
