26.925,19.27,2.712
5.691,0.829,5.404
0.291,0.157,0.266
0.298,0.198,0.315
0.283,0.239,0.371
0.872,0.191,0.295
0.315,0.22,0.215
0.254,0.145,0.283
0.384,0.292,0.32
0.401,0.151,0.261
0.317,0.167,0.268
0.212,0.137,0.226
0.861,0.133,0.199
0.277,0.147,0.308
0.254,0.13,0.192
0.319,0.151,0.327
0.479,0.147,0.213
0.251,0.147,0.196
0.2,0.151,0.228
0.255,0.126,0.341
0.269,0.188,0.25
0.237,0.137,0.198
0.24,0.14,0.189
0.198,0.176,0.181
1.423,0.157,0.232
0.225,0.284,0.835
0.218,0.149,0.224
0.258,0.202,0.321
0.731,0.157,0.347
0.251,0.166,0.215
0.981,0.135,0.229
0.28,0.119,0.2
0.241,0.147,0.326
0.222,0.139,0.334
0.16,0.183,0.155
0.17,0.139,0.224
0.24,0.129,0.154
0.258,0.904,0.228
0.281,0.108,0.145
0.212,0.132,0.233
0.328,0.17,0.244
0.33,0.166,0.244
0.263,0.14,0.176
0.218,0.595,0.189
0.198,0.138,0.215
0.216,0.137,0.769
0.226,0.128,0.218
0.237,0.179,0.275
0.274,0.16,0.349
0.238,0.263,0.24
0.203,0.13,0.197
0.389,0.271,0.232
0.619,0.151,1.976
0.457,0.159,0.283
0.402,0.258,0.338
0.611,0.155,0.242
0.252,0.202,0.254
0.262,0.144,0.53
0.234,0.152,0.233
0.23,0.141,0.227
0.268,0.128,0.263
0.235,0.156,0.231
0.277,0.55,0.303
0.236,0.127,0.18
0.229,0.14,0.204
0.264,0.15,0.2
0.222,0.137,0.219
0.24,0.15,0.214
0.235,0.167,0.201
1.533,0.174,0.235
0.273,0.162,0.223
0.353,0.195,0.264
0.231,0.158,0.211
0.853,0.101,0.167
0.206,0.135,0.218
0.246,0.491,0.162
0.296,0.176,0.196
0.279,0.159,0.238
0.16,0.153,0.776
0.237,0.146,0.213
0.201,0.142,0.245
0.83,0.17,0.271
0.224,0.192,0.249
0.249,0.163,0.234
0.174,0.122,0.155
0.197,0.138,0.231
0.166,0.134,0.198
0.21,0.12,0.26
0.296,0.154,0.214
0.248,0.404,0.255
0.278,0.215,0.252
0.265,0.161,0.237
0.254,0.138,0.222
0.198,0.416,0.344
0.266,0.167,0.236
0.172,0.446,1.095
0.227,0.146,0.212
0.241,0.349,0.209
0.633,0.152,0.247
